ReadID	RefStart	RefEnd	CleanLen	ErrorLen	Insertions	Deletions	Substitutions
read_1	2128	3047	919	916	13	16	12
read_2	4724	5694	970	962	22	30	15
read_3	5409	6101	692	696	7	3	5
read_4	3326	3991	665	672	16	9	9
read_5	2442	2745	303	308	10	5	3
read_6	1191	1669	478	477	6	7	2
read_7	998	1911	913	927	22	8	6
read_8	3162	3819	657	661	10	6	11
read_9	9235	9955	720	721	10	9	13
read_10	1890	2761	871	878	22	15	11
read_11	2793	3504	711	718	16	9	8
read_12	1515	2494	979	979	13	13	12
read_13	7259	8225	966	961	17	22	7
read_14	5507	6075	568	578	15	5	7
read_15	4477	5106	629	630	9	8	9
read_16	9260	9981	721	724	15	12	10
read_17	7544	8023	479	486	11	4	8
read_18	2412	3250	838	847	24	15	7
read_19	7572	8020	448	453	11	6	2
read_20	6645	6991	346	345	4	5	2
read_21	5686	6243	557	565	17	9	8
read_22	7931	8251	320	322	6	4	4
read_23	4554	5538	984	984	15	15	8
read_24	6275	7136	861	864	17	14	13
read_25	8001	8813	812	812	14	14	8
read_26	1587	2259	672	687	18	3	8
read_27	2587	3212	625	628	15	12	9
read_28	2288	2860	572	579	13	6	7
read_29	6606	7576	970	968	12	14	12
read_30	5822	6257	435	436	5	4	6
read_31	6792	7553	761	763	14	12	10
read_32	7666	8575	909	907	16	18	9
read_33	9113	9668	555	557	7	5	6
read_34	6258	6916	658	659	11	10	14
read_35	3729	4211	482	491	16	7	3
read_36	6561	7264	703	706	17	14	7
read_37	6803	7271	468	476	11	3	1
read_38	4612	5160	548	548	7	7	10
read_39	6940	7301	361	365	8	4	2
read_40	302	1032	730	740	20	10	6
read_41	6493	7303	810	804	10	16	12
read_42	8853	9176	323	326	6	3	6
read_43	2606	3047	441	447	13	7	7
read_44	8846	9154	308	305	2	5	4
read_45	8441	9375	934	948	25	11	8
read_46	6243	7041	798	797	15	16	11
read_47	5671	6072	401	410	10	1	4
read_48	6783	7407	624	625	13	12	9
read_49	4719	5440	721	723	13	11	6
