ReadID	TranscriptID	Start	End	CleanLen	ErrorLen	Insertions	Deletions	Substitutions	Region
TRANS_001_r1_CDS	TRANS_001	0	263	263	265	3	1	1	CDS
TRANS_001_r2_CDS	TRANS_001	0	177	177	180	3	0	3	CDS
TRANS_001_r3_CDS	TRANS_001	33	235	202	202	1	1	2	CDS
TRANS_001_r4_CDS	TRANS_001	12	285	273	275	4	2	1	CDS
TRANS_001_r5_CDS	TRANS_001	20	244	224	224	4	4	3	CDS
TRANS_001_r6_CDS	TRANS_001	118	300	182	185	5	2	3	CDS
TRANS_001_r7_CDS	TRANS_001	90	300	210	208	2	4	1	CDS
TRANS_001_r8_CDS	TRANS_001	147	300	153	154	3	2	2	CDS
TRANS_001_r9_CDS	TRANS_001	90	210	120	123	3	0	2	CDS
TRANS_001_r10_CDS	TRANS_001	19	273	254	257	6	3	6	CDS
TRANS_002_r1_5UTR_CDS	TRANS_002	0	266	266	266	2	2	2	5UTR_CDS
TRANS_002_r2_5UTR_CDS	TRANS_002	52	442	390	395	9	4	5	5UTR_CDS
TRANS_002_r3_CDS	TRANS_002	85	418	333	338	6	1	4	CDS
TRANS_002_r4_CDS	TRANS_002	122	300	178	173	1	6	2	CDS
TRANS_002_r5_CDS	TRANS_002	98	386	288	294	7	1	2	CDS
TRANS_002_r6_CDS	TRANS_002	82	442	360	360	4	4	6	CDS
TRANS_002_r7_CDS	TRANS_002	154	442	288	292	7	3	3	CDS
TRANS_002_r8_5UTR_CDS	TRANS_002	67	442	375	376	6	5	7	5UTR_CDS
TRANS_002_r9_CDS	TRANS_002	157	285	128	127	1	2	2	CDS
TRANS_002_r10_5UTR_CDS	TRANS_002	59	396	337	339	8	6	4	5UTR_CDS
TRANS_003_r1_CDS	TRANS_003	0	190	190	193	4	1	0	CDS
TRANS_003_r2_CDS_3UTR	TRANS_003	0	282	282	283	5	4	2	CDS_3UTR
TRANS_003_r3_CDS	TRANS_003	1	205	204	206	2	0	1	CDS
TRANS_003_r4_CDS	TRANS_003	46	179	133	133	3	3	1	CDS
TRANS_003_r5_CDS	TRANS_003	3	190	187	184	1	4	1	CDS
TRANS_003_r6_CDS_3UTR	TRANS_003	101	290	189	191	4	2	4	CDS_3UTR
TRANS_003_r7_CDS_3UTR	TRANS_003	144	290	146	147	2	1	1	CDS_3UTR
TRANS_003_r8_CDS_3UTR	TRANS_003	68	336	268	270	6	4	2	CDS_3UTR
TRANS_003_r9_CDS	TRANS_003	69	267	198	197	3	4	2	CDS
TRANS_003_r10_CDS	TRANS_003	35	155	120	120	1	1	1	CDS
TRANS_004_r1_5UTR	TRANS_004	0	121	121	120	3	4	2	5UTR
TRANS_004_r2_5UTR_CDS	TRANS_004	164	470	306	309	7	4	4	5UTR_CDS
TRANS_004_r3_CDS	TRANS_004	237	452	215	216	4	3	3	CDS
TRANS_004_r4_CDS	TRANS_004	223	346	123	125	2	0	1	CDS
TRANS_004_r5_CDS	TRANS_004	216	601	385	387	5	3	3	CDS
TRANS_004_r6_CDS_3UTR	TRANS_004	419	664	245	248	4	1	0	CDS_3UTR
TRANS_004_r7_CDS_3UTR	TRANS_004	335	664	329	337	9	1	4	CDS_3UTR
TRANS_004_r8_CDS_3UTR	TRANS_004	614	786	172	173	3	2	3	CDS_3UTR
TRANS_004_r9_CDS	TRANS_004	328	457	129	132	4	1	1	CDS
TRANS_004_r10_CDS_3UTR	TRANS_004	416	676	260	258	4	6	1	CDS_3UTR
TRANS_005_r1_5UTR_CDS	TRANS_005	0	289	289	288	4	5	3	5UTR_CDS
TRANS_005_r2_5UTR_CDS	TRANS_005	112	219	107	108	2	1	1	5UTR_CDS
TRANS_005_r3_CDS	TRANS_005	188	355	167	168	1	0	2	CDS
TRANS_005_r4_CDS_3UTR	TRANS_005	142	516	374	378	4	0	6	CDS_3UTR
TRANS_005_r5_CDS	TRANS_005	158	440	282	279	3	6	2	CDS
TRANS_005_r6_CDS_3UTR	TRANS_005	142	511	369	369	3	3	4	CDS_3UTR
TRANS_005_r7_CDS_3UTR	TRANS_005	153	492	339	344	6	1	4	CDS_3UTR
TRANS_005_r8_CDS_3UTR	TRANS_005	422	545	123	120	0	3	0	CDS_3UTR
TRANS_005_r9_CDS	TRANS_005	192	352	160	163	3	0	0	CDS
TRANS_005_r10_5UTR_CDS	TRANS_005	95	291	196	199	5	2	0	5UTR_CDS
TRANS_006_r1_5UTR_CDS	TRANS_006	0	246	246	249	7	4	3	5UTR_CDS
TRANS_006_r2_5UTR_CDS	TRANS_006	157	336	179	182	4	1	1	5UTR_CDS
TRANS_006_r3_CDS	TRANS_006	201	489	288	286	3	5	2	CDS
TRANS_006_r4_CDS	TRANS_006	190	561	371	373	7	5	2	CDS
TRANS_006_r5_CDS	TRANS_006	200	495	295	294	2	3	6	CDS
TRANS_006_r6_CDS_3UTR	TRANS_006	244	597	353	354	4	3	2	CDS_3UTR
TRANS_006_r7_CDS_3UTR	TRANS_006	202	597	395	397	6	4	5	CDS_3UTR
TRANS_006_r8_CDS_3UTR	TRANS_006	343	743	400	400	4	4	4	CDS_3UTR
TRANS_006_r9_CDS	TRANS_006	202	540	338	335	5	8	0	CDS
TRANS_006_r10_5UTR_CDS	TRANS_006	31	313	282	284	3	1	3	5UTR_CDS
TRANS_007_r1_5UTR_CDS	TRANS_007	0	349	349	347	6	8	3	5UTR_CDS
TRANS_007_r2_FULL	TRANS_007	254	521	267	271	8	4	5	FULL
TRANS_007_r3_CDS_3UTR	TRANS_007	284	518	234	236	4	2	1	CDS_3UTR
TRANS_007_r4_CDS_3UTR	TRANS_007	284	521	237	235	6	8	3	CDS_3UTR
TRANS_007_r5_CDS_3UTR	TRANS_007	284	443	159	157	0	2	2	CDS_3UTR
TRANS_007_r6_CDS_3UTR	TRANS_007	284	503	219	220	3	2	1	CDS_3UTR
TRANS_007_r7_CDS_3UTR	TRANS_007	284	521	237	233	1	5	3	CDS_3UTR
TRANS_007_r8_CDS_3UTR	TRANS_007	320	521	201	201	3	3	2	CDS_3UTR
TRANS_007_r9_5UTR_CDS	TRANS_007	131	390	259	259	4	4	3	5UTR_CDS
TRANS_007_r10_FULL	TRANS_007	41	437	396	393	4	7	2	FULL
TRANS_008_r1_5UTR_CDS	TRANS_008	0	250	250	251	4	3	1	5UTR_CDS
TRANS_008_r2_5UTR_CDS	TRANS_008	47	207	160	162	4	2	1	5UTR_CDS
TRANS_008_r3_CDS	TRANS_008	98	382	284	287	4	1	2	CDS
TRANS_008_r4_CDS	TRANS_008	243	440	197	198	3	2	1	CDS
TRANS_008_r5_CDS	TRANS_008	162	483	321	324	5	2	1	CDS
TRANS_008_r6_CDS_3UTR	TRANS_008	597	697	100	99	0	1	1	CDS_3UTR
TRANS_008_r7_CDS_3UTR	TRANS_008	569	697	128	126	2	4	0	CDS_3UTR
TRANS_008_r8_CDS_3UTR	TRANS_008	467	797	330	333	7	4	2	CDS_3UTR
TRANS_008_r9_CDS	TRANS_008	290	506	216	217	4	3	1	CDS
TRANS_008_r10_CDS	TRANS_008	330	519	189	189	2	2	1	CDS
